tempo,rms,spectral_centroid,spectral_bandwidth,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,chroma,contrast,tonnetz,onset,genre
[129.19921875],0.3125717,2920.564923468068,3141.319651003475,0.11502689326141641,-84.872185,73.09784,45.42587,-4.2135324,-3.1108437,0.5609765,20.049622064281323,0.0018817926125413325,2.5481215,electronic
[161.49902344],0.14773653,2079.0459216260633,2334.113201010714,0.08388346858068886,-147.10986,96.27185,8.989158,29.35384,-1.9424788,0.38699517,22.39722859265753,0.049937116053723044,1.7301261,electronic
[78.30255682],0.06384489,2172.134318932266,2498.782181439865,0.07675539376934984,-256.92322,90.506676,24.81364,27.96026,-1.8802551,0.34665152,24.233325993747055,0.020917570100399248,1.5420177,electronic
[61.5234375],0.4238629,452.26897540143085,648.3853993423775,0.00983289594620743,-303.9562,97.457184,44.884758,39.22168,31.136822,0.55222654,21.34505940289343,0.06233000650366501,1.985994,electronic
[99.38401442],0.16280434,238.72178602246885,413.00989407954444,0.010943244485294117,-370.86783,144.45485,76.08653,55.211735,33.401527,0.43126282,23.433985897612217,0.03275756570171331,0.96748686,electronic
[123.046875],0.36437798,2152.4510569262434,2515.907143618233,0.030098457454527865,-146.16373,50.159,15.313991,37.653706,12.013404,0.63570374,21.905552204625106,0.009011951567462508,2.9856281,electronic
[123.046875],0.15595996,3331.901837183032,2951.1926618358166,0.15024134396768576,-77.16642,48.87447,17.093666,26.418217,23.211206,0.3920035,22.54901952614203,-0.06480868657312139,1.3470716,electronic
[129.19921875],0.25327927,3577.758813506518,2937.2502410013562,0.18501437633030185,-55.91588,34.094734,19.765162,25.9995,2.927735,0.5463829,21.571471299860324,0.02040724036004752,2.0862386,electronic
[117.45383523],0.11639959,2204.2506109385185,2500.6782173403717,0.08180562778154024,-184.55542,91.904,8.332332,20.199823,13.668714,0.38011864,22.928265059689668,-0.07026777477692628,1.8820219,electronic
[89.10290948],0.112812564,1843.6826178126928,2167.409029818445,0.04768376306114551,-262.42004,87.38128,23.70756,32.966434,21.567713,0.51980096,18.486618513560714,-0.0025967021889227327,3.890674,electronic
